,TICKER,LTP,OPEN,HIGH,LOW,PREV CLOSE,CHANGE %
0,WIPRO,180.15,188,189.6,177.75,189.5,-4.93
1,POWERGRID,180.15,180.15,160.45,151.75,154.6,1.2
2,DRREDDY,3146.85,3085,3218.85,3025.1,3095,1.68
3,NTPC,80.3,82.05,82.1,78.85,81,-0.86
4,CIPLA,448,425,454.7,416.25,413.75,8.28
5,COALINDIA,137.75,138.6,139.9,131.8,139.45,-1.22
6,IOC,79.6,81,82.1,76.6,78.95,0.82
7,GAIL,80.75,77,82,75.15,75.75,6.6
8,ONGC,69.8,69,71,66.5,65.75,6.16
9,INFRATEL,157.95,158,161.6,154.2,155.1,1.84
10,TCS,1659,1740,1740,1650,1708.75,-2.91
11,HCLTECH,409.85,418.9,428.6,399.3,413.55,-0.89
12,HINDUNILVR,2153,2234,2254.1,2127.95,2179.65,-1.22
13,BRITANNIA,2572,2588.95,2610,2475,2564.85,0.28
14,NESTLEIND,15070,15939.7,15939.7,15005,15654.55,-3.73
15,BHARTIARTL,424.1,432,432,415.6,421.35,0.65
16,TECHM,524,513.75,533.15,510.1,511.2,2.5
17,SUNPHARMA,376.45,343.95,389.8,340,343.55,9.58
18,EICHERMOT,12615,13060,13099.9,12600,13001.6,-2.97
19,UPL,300,306.15,307.5,295,305.75,-1.88
20,BPCL,317,301,326,287.15,302.95,4.64
21,LT,783,791.1,791.1,762.8,774.35,1.12
22,ASIANPAINT,1522,1615.1,1616,1517.25,1603.2,-5.06
23,HDFC,1499.75,1575.5,1578.8,1482.25,1583.5,-5.29
24,ITC,177.5,167.9,182.75,167,166.4,6.67
25,M&M,281.4,274,290,271.35,272.85,3.13
26,TATAMOTORS,65.45,66.9,66.9,64.8,67.95,-3.68
27,INFY,588.5,603.5,606,582.15,602.8,-2.37
28,SBIN,176,187.55,188.2,175,186.55,-5.66
29,HINDALCO,88.8,92.1,93.45,88.4,91.65,-3.11
30,TITAN,870,930,930.05,855.95,936.05,-7.06
31,KOTAKBANK,1158.2,1181.65,1183,1087,1181.65,-1.98
32,TATASTEEL,254.35,267.7,268.9,251,266.35,-4.51
33,HDFCBANK,811,843,844,810,829.65,-2.25
34,VEDL,62.8,64,64.45,62.2,62.65,0.24
35,RELIANCE,1088,1134.45,1134.45,1056.3,1080.45,0.7
36,MARUTI,4011.5,4250,4267,4001.1,4246.35,-5.53
37,SHREECEM,15500,16661.2,16698.45,15410,16549.65,-6.34
38,BAJAJ-AUTO,2020,2051.1,2056.3,1957.55,2051.1,-1.52
39,HEROMOTOCO,1589,1610.05,1623,1543.15,1639.65,-3.09
40,ULTRACEMCO,3032.95,3189,3191,3025,3140.65,-3.43
41,ZEEL,124.4,123,125.95,119.05,120.9,2.89
42,JSWSTEEL,143,143.25,148.15,132.5,143,0
43,ICICIBANK,288,309.5,309.5,281.5,311.15,-7.44
44,ADANIPORTS,244.2,246,252.8,238.9,244.8,-0.25
45,GRASIM,453.1,473.5,477.7,451.2,476.15,-4.84
46,BAJFINANCE,2211,2268.8,2343.7,2183.05,2219.35,-0.38
47,AXISBANK,326.9,360.2,362.3,324,358.65,-8.85
48,INDUSINDBK,313.75,350,350,310.2,342.25,-8.33
49,BAJAJFINSV,4520.05,4560,4646,4430,4501.9,0.4
